NewsDate,Details,Priority,Country,
01/04/2021 01:45,Caixin Manufacturing PMI,MEDIUM,CNY,
01/04/2021 08:15,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 08:45,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 08:55,Markit Manufacturing PMI,MEDIUM,EUR,
01/04/2021 09:30,Markit Manufacturing PMI,MEDIUM,GBP,
01/04/2021 10:00,OPEC Meeting,MEDIUM,USD,
01/04/2021 14:30,Markit Manufacturing PMI,MEDIUM,CAD,
01/04/2021 14:45,Markit Manufacturing PMI,MEDIUM,USD,
01/05/2021 07:00,Retail Sales (YoY),HIGH,EUR,
01/05/2021 07:00,Retail Sales (MoM),MEDIUM,EUR,
01/05/2021 07:30,Consumer Price Index (YoY),MEDIUM,CHF,
01/05/2021 08:55,Unemployment Rate s.a.,MEDIUM,EUR,
01/05/2021 08:55,Unemployment Change,MEDIUM,EUR,
01/05/2021 15:00,ISM Manufacturing Employment Index,MEDIUM,USD,
01/05/2021 15:00,ISM Manufacturing PMI,HIGH,USD,
01/05/2021 15:00,ISM Manufacturing Prices Paid,MEDIUM,USD,
01/05/2021 15:00,ISM Manufacturing New Orders Index,MEDIUM,USD,
01/05/2021 20:45,Fed's Williams speech,MEDIUM,USD,
01/05/2021 22:00,Commonwealth Bank Services PMI,MEDIUM,AUD,
01/06/2021 01:45,Caixin Services PMI,MEDIUM,CNY,
01/06/2021 08:15,Markit Services PMI,MEDIUM,EUR,
01/06/2021 08:45,Markit Services PMI,MEDIUM,EUR,
01/06/2021 08:55,Markit PMI Composite,MEDIUM,EUR,
01/06/2021 09:00,Markit PMI Composite,MEDIUM,EUR,
01/06/2021 10:30,10-y Bond Auction,MEDIUM,EUR,
01/06/2021 13:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR,
01/06/2021 13:15,ADP Employment Change,HIGH,USD,
01/06/2021 14:45,Markit Services PMI,MEDIUM,USD,
01/06/2021 14:45,Markit PMI Composite,MEDIUM,USD,
01/06/2021 15:00,Factory Orders (MoM),MEDIUM,USD,
01/06/2021 19:00,FOMC Minutes,HIGH,USD,
01/07/2021 00:30,Imports (MoM),MEDIUM,AUD,
01/07/2021 00:30,Exports (MoM),MEDIUM,AUD,
01/07/2021 00:30,Building Permits (MoM),MEDIUM,AUD,
01/07/2021 00:30,Trade Balance (MoM),HIGH,AUD,
01/07/2021 07:00,Factory Orders s.a. (MoM),MEDIUM,EUR,
01/07/2021 07:30,Real Retail Sales (YoY),MEDIUM,CHF,
01/07/2021 09:00,Economic Bulletin,MEDIUM,EUR,
01/07/2021 10:00,Retail Sales (YoY),HIGH,EUR,
01/07/2021 10:00,Consumer Confidence,MEDIUM,EUR,
01/07/2021 10:00,Consumer Price Index - Core (YoY),HIGH,EUR,
01/07/2021 10:00,Retail Sales (MoM),MEDIUM,EUR,
01/07/2021 10:00,Consumer Price Index (YoY),HIGH,EUR,
01/07/2021 10:00,Business Climate,MEDIUM,EUR,
01/07/2021 13:30,Trade Balance,MEDIUM,USD,
01/07/2021 13:30,Continuing Jobless Claims,MEDIUM,USD,
01/07/2021 13:30,Initial Jobless Claims,MEDIUM,USD,
01/07/2021 13:30,Initial Jobless Claims 4-week average,MEDIUM,USD,
01/07/2021 15:00,ISM Services New Orders Index,MEDIUM,USD,
01/07/2021 15:00,ISM Services PMI,HIGH,USD,
01/07/2021 15:00,ISM Services Employment Index,MEDIUM,USD,
01/07/2021 15:00,ISM Services Prices Paid,MEDIUM,USD,
01/07/2021 15:00,Ivey Purchasing Managers Index s.a,MEDIUM,CAD,
01/07/2021 15:00,Ivey Purchasing Managers Index,MEDIUM,CAD,
01/07/2021 23:30,Overall Household Spending (YoY),MEDIUM,JPY,
01/08/2021 05:00,Leading Economic Index,MEDIUM,JPY,
01/08/2021 06:45,Unemployment Rate s.a (MoM),MEDIUM,CHF,
01/08/2021 07:00,Trade Balance s.a.,MEDIUM,EUR,
01/08/2021 07:00,Industrial Production s.a. (MoM),MEDIUM,EUR,
01/08/2021 10:00,Unemployment Rate,MEDIUM,EUR,
01/08/2021 13:30,Nonfarm Payrolls,HIGH,USD,
01/08/2021 13:30,Average Hourly Earnings (YoY),MEDIUM,USD,
01/08/2021 13:30,Labor Force Participation Rate,MEDIUM,USD,
01/08/2021 13:30,Average Hourly Earnings (MoM),MEDIUM,USD,
01/08/2021 13:30,U6 Underemployment Rate,MEDIUM,USD,
01/08/2021 13:30,Unemployment Rate,MEDIUM,USD,
01/08/2021 13:30,Unemployment Rate,HIGH,CAD,
01/08/2021 13:30,Participation Rate,MEDIUM,CAD,
01/08/2021 13:30,Average Hourly Wages (YoY),MEDIUM,CAD,
01/08/2021 13:30,Net Change in Employment,HIGH,CAD,
,HIGH,AUD,01/11/2021 00:30,Retail Sales s.a. (MoM)
,MEDIUM,CNY,01/11/2021 01:30,Consumer Price Index (MoM)
,MEDIUM,CNY,01/11/2021 01:30,Producer Price Index (YoY)
,HIGH,CNY,01/11/2021 01:30,Consumer Price Index (YoY)
,MEDIUM,GBP,01/11/2021 08:00,NIESR GDP Estimate (3M)
,MEDIUM,CAD,01/11/2021 14:30,Bank of Canada Business Outlook Survey
,MEDIUM,JPY,01/11/2021 23:50,Current Account n.s.a.
,MEDIUM,CNY,01/13/2021 07:00:00,FDI - Foreign Direct Investment (YTD) (YoY)
,MEDIUM,EUR,01/13/2021 10:00:00,Industrial Production s.a. (MoM)
,MEDIUM,USD,01/13/2021 13:30:00,Consumer Price Index Core s.a
,MEDIUM,USD,01/13/2021 13:30:00,Consumer Price Index (MoM)
,HIGH,USD,01/13/2021 13:30:00,Consumer Price Index ex Food & Energy (MoM)
,MEDIUM,USD,01/13/2021 13:30:00,Consumer Price Index (YoY)
,HIGH,USD,01/13/2021 13:30:00,Consumer Price Index ex Food & Energy (YoY)
,MEDIUM,USD,01/13/2021 19:00:00,Monthly Budget Statement
,MEDIUM,USD,01/13/2021 19:00:00,Fed's Beige Book
,MEDIUM,CNY,01/14/2021 02:00:00,Trade Balance USD
,MEDIUM,CNY,01/14/2021 02:00:00,Exports (YoY)
,MEDIUM,CNY,01/14/2021 02:00:00,Imports (YoY)
,MEDIUM,USD,01/14/2021 13:30:00,Retail Sales ex Autos (MoM)
,MEDIUM,USD,01/14/2021 13:30:00,Continuing Jobless Claims
,HIGH,USD,01/14/2021 13:30:00,Retail Sales Control Group
,MEDIUM,USD,01/14/2021 13:30:00,Initial Jobless Claims
,HIGH,USD,01/14/2021 13:30:00,Retail Sales (MoM)
,MEDIUM,USD,01/14/2021 13:30:00,Initial Jobless Claims 4-week average
,MEDIUM,NZD,01/14/2021 21:45:00,Building Permits s.a. (MoM)
,HIGH,CNY,01/15/2021 02:00:00,Gross Domestic Product (YoY)
,MEDIUM,CNY,01/15/2021 02:00:00,NBS Press Conference
,MEDIUM,CNY,01/15/2021 02:00:00,Industrial Production (YoY)
,HIGH,CNY,01/15/2021 02:00:00,Gross Domestic Product (QoQ)
,HIGH,CNY,01/15/2021 04:00:00,Retail Sales (YoY)
,MEDIUM,GBP,01/15/2021 07:00:00,Manufacturing Production (MoM)
,MEDIUM,GBP,01/15/2021 07:00:00,Industrial Production (MoM)
,MEDIUM,GBP,01/15/2021 07:00:00,Manufacturing Production (YoY)
,MEDIUM,USD,01/15/2021 13:30:00,Producer Price Index ex Food & Energy (YoY)
,HIGH,USD,01/15/2021 15:00:00,Michigan Consumer Sentiment Index
,MEDIUM,NZD,01/17/2021 21:00:00,NZIER Business Confidence (QoQ)
,MEDIUM,JPY,01/18/2021 04:30:00,Industrial Production (YoY)
,MEDIUM,AUD,01/18/2021 23:30:00,Westpac Leading Index (MoM)
,HIGH,EUR,01/19/2021 07:00:00,Harmonized Index of Consumer Prices (YoY)
,MEDIUM,EUR,01/19/2021 10:00:00,ZEW Survey – Economic Sentiment
,MEDIUM,EUR,01/19/2021 10:00:00,ZEW Survey – Current Situation
,MEDIUM,EUR,01/19/2021 10:00:00,ZEW Survey – Economic Sentiment
,HIGH,CNY,01/20/2021 01:30:00,PBoC Interest Rate Decision
,MEDIUM,GBP,01/20/2021 07:00:00,Consumer Price Index (MoM)
,MEDIUM,GBP,01/20/2021 07:00:00,Retail Price Index (YoY)
,MEDIUM,GBP,01/20/2021 07:00:00,PPI Core Output (YoY) n.s.a 
,HIGH,GBP,01/20/2021 07:00:00,Consumer Price Index (YoY)
,MEDIUM,GBP,01/20/2021 07:00:00,Core Consumer Price Index (YoY)
,MEDIUM,GBP,01/20/2021 07:00:00,Retail Price Index (MoM)
,MEDIUM,GBP,01/20/2021 07:00:00,PPI Core Output (MoM) n.s.a
,MEDIUM,EUR,01/20/2021 07:00:00,Producer Price Index (MoM)
,MEDIUM,EUR,01/20/2021 07:00:00,Gfk Consumer Confidence Survey
,MEDIUM,EUR,01/20/2021 10:00:00,Eurogroup Meeting
,MEDIUM,EUR,01/20/2021 10:00:00,Consumer Price Index (MoM)
,MEDIUM,EUR,01/20/2021 10:00:00,Consumer Price Index - Core (YoY)
,MEDIUM,EUR,01/20/2021 10:00:00,Consumer Price Index - Core (MoM)
,HIGH,CAD,01/20/2021 13:30:00,BoC Consumer Price Index Core (YoY)
,MEDIUM,CAD,01/20/2021 13:30:00,BoC Consumer Price Index Core (MoM)
,MEDIUM,CAD,01/20/2021 13:30:00,Consumer Price Index (YoY)
,MEDIUM,CAD,01/20/2021 13:30:00,Consumer Price Index - Core (MoM)
,MEDIUM,CAD,01/20/2021 13:30:00,Consumer Price Index (MoM)
,HIGH,CAD,01/20/2021 15:00:00,BoC Rate Statement
,HIGH,CAD,01/20/2021 15:00:00,BoC Interest Rate Decision
,HIGH,CAD,01/20/2021 16:15:00,BoC Press Conference
,MEDIUM,JPY,01/20/2021 23:50:00,Merchandise Trade Balance Total
,MEDIUM,JPY,01/20/2021 23:50:00,Imports (YoY)
,MEDIUM,JPY,01/20/2021 23:50:00,Exports (YoY)
,MEDIUM,AUD,01/21/2021 00:30:00,Fulltime Employment
,HIGH,AUD,01/21/2021 00:30:00,Employment Change s.a.
,HIGH,AUD,01/21/2021 00:30:00,Unemployment Rate s.a.
,HIGH,JPY,01/21/2021 03:00:00,BoJ Monetary Policy Statement 
,HIGH,JPY,01/21/2021 03:00:00,BoJ Interest Rate Decision
,HIGH,JPY,01/21/2021 06:00:00,BoJ Press Conference
,MEDIUM,EUR,01/21/2021 07:00:00,EcoFin Meeting
,HIGH,EUR,01/21/2021 12:45:00,ECB Interest Rate Decision
,HIGH,EUR,01/21/2021 12:45:00,ECB Deposit Rate Decision
,MEDIUM,USD,01/21/2021 13:30:00,Building Permits (MoM)
,MEDIUM,USD,01/21/2021 13:30:00,Housing Starts (MoM)
,MEDIUM,USD,01/21/2021 13:30:00,Continuing Jobless Claims
,MEDIUM,USD,01/21/2021 13:30:00,Initial Jobless Claims
,MEDIUM,USD,01/21/2021 13:30:00,Initial Jobless Claims 4-week average
,HIGH,EUR,01/21/2021 13:30:00,ECB Monetary Policy Statement and Press Conference
,HIGH,CAD,01/21/2021 15:00:00,Bank of Canada Monetary Policy Report
,HIGH,NZD,01/21/2021 21:45:00,Consumer Price Index (YoY)
,MEDIUM,NZD,01/21/2021 21:45:00,Consumer Price Index (QoQ)
,MEDIUM,AUD,01/21/2021 22:00:00,Commonwealth Bank Services PMI
,MEDIUM,AUD,01/21/2021 22:00:00,Commonwealth Bank Manufacturing PMI
,MEDIUM,JPY,01/21/2021 23:30:00,"National CPI ex Food, Energy (YoY)"
,MEDIUM,JPY,01/21/2021 23:30:00,National CPI ex-Fresh Food (YoY)
,MEDIUM,JPY,01/21/2021 23:30:00,National Consumer Price Index (YoY)
,MEDIUM,GBP,01/22/2021 00:01:00,GfK Consumer Confidence
,MEDIUM,EUR,01/22/2021 08:15:00,Markit Manufacturing PMI
,MEDIUM,EUR,01/22/2021 08:15:00,Markit Services PMI
,MEDIUM,EUR,01/22/2021 08:15:00,Markit PMI Composite
,HIGH,EUR,01/22/2021 08:30:00,Markit Manufacturing PMI
,MEDIUM,EUR,01/22/2021 08:30:00,Markit Services PMI
,HIGH,EUR,01/22/2021 08:30:00,Markit PMI Composite
,MEDIUM,EUR,01/22/2021 09:00:00,Markit Manufacturing PMI
,MEDIUM,EUR,01/22/2021 09:00:00,Markit Services PMI
,HIGH,EUR,01/22/2021 09:00:00,Markit PMI Composite
,MEDIUM,EUR,01/22/2021 09:00:00,IFO – Business Climate
,MEDIUM,EUR,01/22/2021 09:00:00,IFO – Current Assessment
,MEDIUM,EUR,01/22/2021 09:00:00,IFO – Expectations
,MEDIUM,GBP,01/22/2021 09:30:00,Markit Manufacturing PMI
,HIGH,GBP,01/22/2021 09:30:00,Markit Services PMI
,MEDIUM,CAD,01/22/2021 13:30:00,Retail Sales ex Autos (MoM)
,HIGH,CAD,01/22/2021 13:30:00,Retail Sales (MoM)
,MEDIUM,USD,01/22/2021 14:45:00,Markit Manufacturing PMI
,MEDIUM,USD,01/22/2021 14:45:00,Markit Services PMI
,MEDIUM,USD,01/22/2021 14:45:00,Markit PMI Composite
,MEDIUM,EUR,01/25/2021 06:30:00,Gross Domestic Product (QoQ)
,MEDIUM,EUR,01/25/2021 10:00:00,Consumer Confidence
,MEDIUM,EUR,01/25/2021 10:00:00,Business Climate
,MEDIUM,USD,01/25/2021 13:30:00,Core Personal Consumption Expenditures (QoQ)
,MEDIUM,USD,01/25/2021 13:30:00,Gross Domestic Product Price Index
,MEDIUM,USD,01/25/2021 13:30:00,Personal Consumption Expenditures Prices (QoQ)
,HIGH,USD,01/25/2021 13:30:00,Gross Domestic Product Annualized
,HIGH,JPY,01/25/2021 23:50:00,BoJ Monetary Policy Meeting Minutes
,MEDIUM,GBP,01/26/2021 07:00:00,Claimant Count Rate
,HIGH,GBP,01/26/2021 07:00:00,Claimant Count Change
,HIGH,GBP,01/26/2021 07:00:00,ILO Unemployment Rate (3M)
,MEDIUM,GBP,01/26/2021 07:00:00,Average Earnings Including Bonus (3Mo/Yr)
,MEDIUM,GBP,01/26/2021 07:00:00,Average Earnings Excluding Bonus (3Mo/Yr)
,MEDIUM,USD,01/26/2021 14:00:00,Housing Price Index (MoM)
,MEDIUM,USD,01/26/2021 14:00:00,S&P/Case-Shiller Home Price Indices (YoY)
,HIGH,AUD,01/27/2021 00:30:00,RBA Trimmed Mean CPI (QoQ)
,MEDIUM,AUD,01/27/2021 00:30:00,Consumer Price Index (YoY)
,HIGH,AUD,01/27/2021 00:30:00,Consumer Price Index (QoQ)
,MEDIUM,JPY,01/27/2021 05:00:00,Leading Economic Index
,HIGH,USD,01/27/2021 19:00:00,Fed Interest Rate Decision
,HIGH,USD,01/27/2021 19:00:00,FOMC Press Conference
,HIGH,USD,01/27/2021 19:00:00,Fed's Monetary Policy Statement
,MEDIUM,JPY,01/27/2021 23:50:00,Retail Trade s.a (MoM)
,MEDIUM,JPY,01/27/2021 23:50:00,Retail Trade (YoY)
,MEDIUM,JPY,01/27/2021 23:50:00,Large Retailer Sales
,MEDIUM,CHF,01/28/2021 08:00:00,KOF Leading Indicator
,MEDIUM,USD,01/28/2021 13:30:00,Durable Goods Orders ex Transportation
,MEDIUM,USD,01/28/2021 13:30:00,Durable Goods Orders ex Defense
,MEDIUM,USD,01/28/2021 13:30:00,Continuing Jobless Claims
,HIGH,USD,01/28/2021 13:30:00,Durable Goods Orders
,MEDIUM,USD,01/28/2021 13:30:00,Initial Jobless Claims
,HIGH,USD,01/28/2021 13:30:00,Nondefense Capital Goods Orders ex Aircraft
,MEDIUM,USD,01/28/2021 13:30:00,Initial Jobless Claims 4-week average
,MEDIUM,JPY,01/28/2021 23:30:00,Tokyo CPI ex Fresh Food (YoY)
,MEDIUM,JPY,01/28/2021 23:30:00,Tokyo Consumer Price Index (YoY)
,MEDIUM,JPY,01/28/2021 23:30:00,"Tokyo CPI ex Food, Energy (YoY)"
,MEDIUM,JPY,01/28/2021 23:50:00,Industrial Production (YoY)
,MEDIUM,CHF,01/29/2021 07:30:00,Real Retail Sales (YoY)
,MEDIUM,EUR,01/29/2021 08:55:00,Unemployment Rate s.a.
,MEDIUM,EUR,01/29/2021 08:55:00,Unemployment Change
,HIGH,EUR,01/29/2021 10:00:00,Gross Domestic Product s.a. (QoQ)
,HIGH,EUR,01/29/2021 10:00:00,Gross Domestic Product s.a. (YoY)
,HIGH,EUR,01/29/2021 13:00:00,Harmonized Index of Consumer Prices (YoY)
,MEDIUM,USD,01/29/2021 13:30:00,Core Personal Consumption Expenditure - Price Index (MoM)
,MEDIUM,USD,01/29/2021 13:30:00,Personal Income (MoM)
,MEDIUM,USD,01/29/2021 13:30:00,Personal Spending
,MEDIUM,USD,01/29/2021 13:30:00,Core Personal Consumption Expenditure - Price Index (YoY)
,MEDIUM,CAD,01/29/2021 13:30:00,Gross Domestic Product (MoM)
,MEDIUM,USD,01/29/2021 14:45:00,Chicago Purchasing Managers' Index
,MEDIUM,USD,01/29/2021 15:00:00,Michigan Consumer Sentiment Index
,MEDIUM,JPY,01/29/2021 23:30:00,Jobs / Applicants Ratio
,MEDIUM,JPY,01/29/2021 23:30:00,Unemployment Rate
,HIGH,CNY,01/31/2021 01:00:00,Non-Manufacturing PMI
,HIGH,CNY,01/31/2021 01:00:00,NBS Manufacturing PMI
,MEDIUM,AUD,01/31/2021 21:30:00,AiG Performance of Mfg Index
